Timestamp,Provider,Counter Name,Counter Type,Mean/Increment
10/10/2025 10:00:03,System.Runtime,dotnet.timer.count ({timer}),Metric,0
10/10/2025 10:00:03,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,14
10/10/2025 10:00:03,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,0
10/10/2025 10:00:03,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,0
10/10/2025 10:00:03,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,0
10/10/2025 10:00:03,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,0
10/10/2025 10:00:03,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,0
10/10/2025 10:00:03,System.Runtime,dotnet.process.memory.working_set (By),Metric,43827200
10/10/2025 10:00:03,System.Runtime,dotnet.assembly.count ({assembly}),Metric,14
10/10/2025 10:00:03,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,0
10/10/2025 10:00:03,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,0
10/10/2025 10:00:03,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,0
10/10/2025 10:00:03,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,0
10/10/2025 10:00:03,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,0
10/10/2025 10:00:03,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,0
10/10/2025 10:00:04,System.Runtime,dotnet.timer.count ({timer}),Metric,0
10/10/2025 10:00:04,System.Runtime,dotnet.jit.compiled_il.size (By / 1 sec),Rate,11694
10/10/2025 10:00:04,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,14
10/10/2025 10:00:04,System.Runtime,dotnet.thread_pool.queue.length ({work_item} / 1 sec),Rate,0
10/10/2025 10:00:04,System.Runtime,dotnet.jit.compiled_methods ({method} / 1 sec),Rate,91
10/10/2025 10:00:04,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=user],Rate,0.04426
10/10/2025 10:00:04,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=system],Rate,0.003306
10/10/2025 10:00:04,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,0
10/10/2025 10:00:04,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,0
10/10/2025 10:00:04,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,0
10/10/2025 10:00:04,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,0
10/10/2025 10:00:04,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,0
10/10/2025 10:00:04,System.Runtime,dotnet.thread_pool.work_item.count ({work_item} / 1 sec),Rate,0
10/10/2025 10:00:04,System.Runtime,dotnet.gc.heap.total_allocated (By / 1 sec),Rate,49160
10/10/2025 10:00:04,System.Runtime,dotnet.process.memory.working_set (By),Metric,45334528
10/10/2025 10:00:04,System.Runtime,dotnet.assembly.count ({assembly}),Metric,14
10/10/2025 10:00:04,System.Runtime,dotnet.monitor.lock_contentions ({contention} / 1 sec),Rate,0
10/10/2025 10:00:04,System.Runtime,dotnet.jit.compilation.time (s / 1 sec),Rate,0.034794500000000006
10/10/2025 10:00:04,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,0
10/10/2025 10:00:04,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,0
10/10/2025 10:00:04,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,0
10/10/2025 10:00:04,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,0
10/10/2025 10:00:04,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,0
10/10/2025 10:00:04,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,0
10/10/2025 10:00:04,System.Runtime,dotnet.thread_pool.thread.count ({thread} / 1 sec),Rate,0
10/10/2025 10:00:04,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen0],Rate,0
10/10/2025 10:00:04,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen1],Rate,0
10/10/2025 10:00:04,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen2],Rate,0
10/10/2025 10:00:04,System.Runtime,dotnet.gc.pause.time (s / 1 sec),Rate,0
10/10/2025 10:00:05,System.Runtime,dotnet.timer.count ({timer}),Metric,0
10/10/2025 10:00:05,System.Runtime,dotnet.jit.compiled_il.size (By / 1 sec),Rate,8392
10/10/2025 10:00:05,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,14
10/10/2025 10:00:05,System.Runtime,dotnet.thread_pool.queue.length ({work_item} / 1 sec),Rate,0
10/10/2025 10:00:05,System.Runtime,dotnet.jit.compiled_methods ({method} / 1 sec),Rate,62
10/10/2025 10:00:05,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=user],Rate,0.03371700000000001
10/10/2025 10:00:05,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=system],Rate,0.001117
10/10/2025 10:00:05,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,0
10/10/2025 10:00:05,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,0
10/10/2025 10:00:05,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,0
10/10/2025 10:00:05,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,0
10/10/2025 10:00:05,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,0
10/10/2025 10:00:05,System.Runtime,dotnet.thread_pool.work_item.count ({work_item} / 1 sec),Rate,0
10/10/2025 10:00:05,System.Runtime,dotnet.gc.heap.total_allocated (By / 1 sec),Rate,23296
10/10/2025 10:00:05,System.Runtime,dotnet.process.memory.working_set (By),Metric,45678592
10/10/2025 10:00:05,System.Runtime,dotnet.assembly.count ({assembly}),Metric,14
10/10/2025 10:00:05,System.Runtime,dotnet.monitor.lock_contentions ({contention} / 1 sec),Rate,0
10/10/2025 10:00:05,System.Runtime,dotnet.jit.compilation.time (s / 1 sec),Rate,0.035623699999999994
10/10/2025 10:00:05,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,0
10/10/2025 10:00:05,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,0
10/10/2025 10:00:05,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,0
10/10/2025 10:00:05,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,0
10/10/2025 10:00:05,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,0
10/10/2025 10:00:05,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,0
10/10/2025 10:00:05,System.Runtime,dotnet.thread_pool.thread.count ({thread} / 1 sec),Rate,0
10/10/2025 10:00:05,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen0],Rate,0
10/10/2025 10:00:05,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen1],Rate,0
10/10/2025 10:00:05,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen2],Rate,0
10/10/2025 10:00:05,System.Runtime,dotnet.gc.pause.time (s / 1 sec),Rate,0
10/10/2025 10:00:06,System.Runtime,dotnet.timer.count ({timer}),Metric,0
10/10/2025 10:00:06,System.Runtime,dotnet.jit.compiled_il.size (By / 1 sec),Rate,9968
10/10/2025 10:00:06,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,14
10/10/2025 10:00:06,System.Runtime,dotnet.thread_pool.queue.length ({work_item} / 1 sec),Rate,0
10/10/2025 10:00:06,System.Runtime,dotnet.jit.compiled_methods ({method} / 1 sec),Rate,117
10/10/2025 10:00:06,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=user],Rate,0.031522999999999995
10/10/2025 10:00:06,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=system],Rate,0.001170000000000001
10/10/2025 10:00:06,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,0
10/10/2025 10:00:06,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,0
10/10/2025 10:00:06,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,0
10/10/2025 10:00:06,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,0
10/10/2025 10:00:06,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,0
10/10/2025 10:00:06,System.Runtime,dotnet.thread_pool.work_item.count ({work_item} / 1 sec),Rate,0
10/10/2025 10:00:06,System.Runtime,dotnet.gc.heap.total_allocated (By / 1 sec),Rate,32512
10/10/2025 10:00:06,System.Runtime,dotnet.process.memory.working_set (By),Metric,45924352
10/10/2025 10:00:06,System.Runtime,dotnet.assembly.count ({assembly}),Metric,14
10/10/2025 10:00:06,System.Runtime,dotnet.monitor.lock_contentions ({contention} / 1 sec),Rate,0
10/10/2025 10:00:06,System.Runtime,dotnet.jit.compilation.time (s / 1 sec),Rate,0.030008499999999994
10/10/2025 10:00:06,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,0
10/10/2025 10:00:06,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,0
10/10/2025 10:00:06,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,0
10/10/2025 10:00:06,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,0
10/10/2025 10:00:06,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,0
10/10/2025 10:00:06,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,0
10/10/2025 10:00:06,System.Runtime,dotnet.thread_pool.thread.count ({thread} / 1 sec),Rate,0
10/10/2025 10:00:06,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen0],Rate,0
10/10/2025 10:00:06,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen1],Rate,0
10/10/2025 10:00:06,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen2],Rate,0
10/10/2025 10:00:06,System.Runtime,dotnet.gc.pause.time (s / 1 sec),Rate,0
10/10/2025 10:00:07,System.Runtime,dotnet.timer.count ({timer}),Metric,0
10/10/2025 10:00:07,System.Runtime,dotnet.jit.compiled_il.size (By / 1 sec),Rate,1891
10/10/2025 10:00:07,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,14
10/10/2025 10:00:07,System.Runtime,dotnet.thread_pool.queue.length ({work_item} / 1 sec),Rate,0
10/10/2025 10:00:07,System.Runtime,dotnet.jit.compiled_methods ({method} / 1 sec),Rate,30
10/10/2025 10:00:07,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=user],Rate,0.012414999999999982
10/10/2025 10:00:07,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=system],Rate,0.0008120000000000002
10/10/2025 10:00:07,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,0
10/10/2025 10:00:07,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,0
10/10/2025 10:00:07,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,0
10/10/2025 10:00:07,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,0
10/10/2025 10:00:07,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,0
10/10/2025 10:00:07,System.Runtime,dotnet.thread_pool.work_item.count ({work_item} / 1 sec),Rate,0
10/10/2025 10:00:07,System.Runtime,dotnet.gc.heap.total_allocated (By / 1 sec),Rate,20576
10/10/2025 10:00:07,System.Runtime,dotnet.process.memory.working_set (By),Metric,45973504
10/10/2025 10:00:07,System.Runtime,dotnet.assembly.count ({assembly}),Metric,14
10/10/2025 10:00:07,System.Runtime,dotnet.monitor.lock_contentions ({contention} / 1 sec),Rate,0
10/10/2025 10:00:07,System.Runtime,dotnet.jit.compilation.time (s / 1 sec),Rate,0.011268300000000009
10/10/2025 10:00:07,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,0
10/10/2025 10:00:07,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,0
10/10/2025 10:00:07,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,0
10/10/2025 10:00:07,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,0
10/10/2025 10:00:07,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,0
10/10/2025 10:00:07,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,0
10/10/2025 10:00:07,System.Runtime,dotnet.thread_pool.thread.count ({thread} / 1 sec),Rate,0
10/10/2025 10:00:07,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen0],Rate,0
10/10/2025 10:00:07,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen1],Rate,0
10/10/2025 10:00:07,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen2],Rate,0
10/10/2025 10:00:07,System.Runtime,dotnet.gc.pause.time (s / 1 sec),Rate,0
10/10/2025 10:00:08,System.Runtime,dotnet.timer.count ({timer}),Metric,0
10/10/2025 10:00:08,System.Runtime,dotnet.jit.compiled_il.size (By / 1 sec),Rate,8236
10/10/2025 10:00:08,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,14
10/10/2025 10:00:08,System.Runtime,dotnet.thread_pool.queue.length ({work_item} / 1 sec),Rate,0
10/10/2025 10:00:08,System.Runtime,dotnet.jit.compiled_methods ({method} / 1 sec),Rate,97
10/10/2025 10:00:08,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=user],Rate,0.02659600000000001
10/10/2025 10:00:08,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=system],Rate,0.0005789999999999997
10/10/2025 10:00:08,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,0
10/10/2025 10:00:08,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,0
10/10/2025 10:00:08,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,0
10/10/2025 10:00:08,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,0
10/10/2025 10:00:08,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,0
10/10/2025 10:00:08,System.Runtime,dotnet.thread_pool.work_item.count ({work_item} / 1 sec),Rate,0
10/10/2025 10:00:08,System.Runtime,dotnet.gc.heap.total_allocated (By / 1 sec),Rate,40824
10/10/2025 10:00:08,System.Runtime,dotnet.process.memory.working_set (By),Metric,46120960
10/10/2025 10:00:08,System.Runtime,dotnet.assembly.count ({assembly}),Metric,14
10/10/2025 10:00:08,System.Runtime,dotnet.monitor.lock_contentions ({contention} / 1 sec),Rate,0
10/10/2025 10:00:08,System.Runtime,dotnet.jit.compilation.time (s / 1 sec),Rate,0.025635800000000014
10/10/2025 10:00:08,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,0
10/10/2025 10:00:08,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,0
10/10/2025 10:00:08,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,0
10/10/2025 10:00:08,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,0
10/10/2025 10:00:08,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,0
10/10/2025 10:00:08,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,0
10/10/2025 10:00:08,System.Runtime,dotnet.thread_pool.thread.count ({thread} / 1 sec),Rate,0
10/10/2025 10:00:08,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen0],Rate,0
10/10/2025 10:00:08,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen1],Rate,0
10/10/2025 10:00:08,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen2],Rate,0
10/10/2025 10:00:08,System.Runtime,dotnet.gc.pause.time (s / 1 sec),Rate,0
10/10/2025 10:00:09,System.Runtime,dotnet.timer.count ({timer}),Metric,0
10/10/2025 10:00:09,System.Runtime,dotnet.jit.compiled_il.size (By / 1 sec),Rate,730
10/10/2025 10:00:09,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,14
10/10/2025 10:00:09,System.Runtime,dotnet.thread_pool.queue.length ({work_item} / 1 sec),Rate,0
10/10/2025 10:00:09,System.Runtime,dotnet.jit.compiled_methods ({method} / 1 sec),Rate,9
10/10/2025 10:00:09,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=user],Rate,0.0037590000000000123
10/10/2025 10:00:09,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=system],Rate,0.0003580000000000007
10/10/2025 10:00:09,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,0
10/10/2025 10:00:09,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,0
10/10/2025 10:00:09,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,0
10/10/2025 10:00:09,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,0
10/10/2025 10:00:09,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,0
10/10/2025 10:00:09,System.Runtime,dotnet.thread_pool.work_item.count ({work_item} / 1 sec),Rate,0
10/10/2025 10:00:09,System.Runtime,dotnet.gc.heap.total_allocated (By / 1 sec),Rate,24512
10/10/2025 10:00:09,System.Runtime,dotnet.process.memory.working_set (By),Metric,46153728
10/10/2025 10:00:09,System.Runtime,dotnet.assembly.count ({assembly}),Metric,14
10/10/2025 10:00:09,System.Runtime,dotnet.monitor.lock_contentions ({contention} / 1 sec),Rate,0
10/10/2025 10:00:09,System.Runtime,dotnet.jit.compilation.time (s / 1 sec),Rate,0.0033201999999999954
10/10/2025 10:00:09,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,0
10/10/2025 10:00:09,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,0
10/10/2025 10:00:09,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,0
10/10/2025 10:00:09,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,0
10/10/2025 10:00:09,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,0
10/10/2025 10:00:09,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,0
10/10/2025 10:00:09,System.Runtime,dotnet.thread_pool.thread.count ({thread} / 1 sec),Rate,0
10/10/2025 10:00:09,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen0],Rate,0
10/10/2025 10:00:09,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen1],Rate,0
10/10/2025 10:00:09,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen2],Rate,0
10/10/2025 10:00:09,System.Runtime,dotnet.gc.pause.time (s / 1 sec),Rate,0
10/10/2025 10:00:10,System.Runtime,dotnet.timer.count ({timer}),Metric,0
10/10/2025 10:00:10,System.Runtime,dotnet.jit.compiled_il.size (By / 1 sec),Rate,416
10/10/2025 10:00:10,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,14
10/10/2025 10:00:10,System.Runtime,dotnet.thread_pool.queue.length ({work_item} / 1 sec),Rate,0
10/10/2025 10:00:10,System.Runtime,dotnet.jit.compiled_methods ({method} / 1 sec),Rate,10
10/10/2025 10:00:10,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=user],Rate,0.00345899999999999
10/10/2025 10:00:10,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=system],Rate,0.0004689999999999972
10/10/2025 10:00:10,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,0
10/10/2025 10:00:10,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,0
10/10/2025 10:00:10,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,0
10/10/2025 10:00:10,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,0
10/10/2025 10:00:10,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,0
10/10/2025 10:00:10,System.Runtime,dotnet.thread_pool.work_item.count ({work_item} / 1 sec),Rate,0
10/10/2025 10:00:10,System.Runtime,dotnet.gc.heap.total_allocated (By / 1 sec),Rate,32688
10/10/2025 10:00:10,System.Runtime,dotnet.process.memory.working_set (By),Metric,46186496
10/10/2025 10:00:10,System.Runtime,dotnet.assembly.count ({assembly}),Metric,14
10/10/2025 10:00:10,System.Runtime,dotnet.monitor.lock_contentions ({contention} / 1 sec),Rate,0
10/10/2025 10:00:10,System.Runtime,dotnet.jit.compilation.time (s / 1 sec),Rate,0.0027018999999999793
10/10/2025 10:00:10,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,0
10/10/2025 10:00:10,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,0
10/10/2025 10:00:10,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,0
10/10/2025 10:00:10,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,0
10/10/2025 10:00:10,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,0
10/10/2025 10:00:10,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,0
10/10/2025 10:00:10,System.Runtime,dotnet.thread_pool.thread.count ({thread} / 1 sec),Rate,0
10/10/2025 10:00:10,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen0],Rate,0
10/10/2025 10:00:10,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen1],Rate,0
10/10/2025 10:00:10,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen2],Rate,0
10/10/2025 10:00:10,System.Runtime,dotnet.gc.pause.time (s / 1 sec),Rate,0
10/10/2025 10:00:11,System.Runtime,dotnet.timer.count ({timer}),Metric,0
10/10/2025 10:00:11,System.Runtime,dotnet.jit.compiled_il.size (By / 1 sec),Rate,364
10/10/2025 10:00:11,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,14
10/10/2025 10:00:11,System.Runtime,dotnet.thread_pool.queue.length ({work_item} / 1 sec),Rate,0
10/10/2025 10:00:11,System.Runtime,dotnet.jit.compiled_methods ({method} / 1 sec),Rate,12
10/10/2025 10:00:11,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=user],Rate,0.0036660000000000026
10/10/2025 10:00:11,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=system],Rate,0.0006060000000000024
